metric_group,window_id,metric_name,value,unit,source_path
operation_duration,operation_or_fault_apply,add_node,0.077456,seconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/operation_command_trace.jsonl
operation_duration,operation_or_fault_apply,remove_node,1.125269,seconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/operation_command_trace.jsonl
cluster_slot_role_counts,after_recovery,nodes_observed,30,nodes,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,primary_count,15,nodes,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,replica_count,15,nodes,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_assigned,16384,slots,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_fail,0,slots,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/metrics_window.jsonl
workload_availability_percent,before,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_errors,before,error_count,0,count,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,before,p50,51.166646,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,before,p95,60.552255,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,before,p99,65.266715,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_availability_percent,during,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_errors,during,error_count,0,count,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,during,p50,44.127979,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,during,p95,60.315906,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,during,p99,73.877145,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_availability_percent,after,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_errors,after,error_count,0,count,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,after,p50,53.447938,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,after,p95,59.525254,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
workload_latency_ms,after,p99,60.227348,milliseconds,artifacts/capability_matrix_loop/CML15A_ADD_NODE_REMOVE_NODE_30/samples/workload_window.jsonl
