metric_group,window_id,metric_name,value,unit,source_path
operation_duration,operation_or_fault_apply,reshard_slots,0.072206,seconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/operation_command_trace.jsonl
cluster_slot_role_counts,after_recovery,nodes_observed,30,nodes,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,primary_count,15,nodes,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,replica_count,15,nodes,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_assigned,16384,slots,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_fail,0,slots,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/metrics_window.jsonl
workload_availability_percent,before,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_errors,before,error_count,0,count,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,before,p50,54.777375,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,before,p95,62.628944,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,before,p99,64.148965,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_availability_percent,during,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_errors,during,error_count,0,count,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,during,p50,60.237417,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,during,p95,74.979312,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,during,p99,76.825362,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_availability_percent,after,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_errors,after,error_count,0,count,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,after,p50,54.747437,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,after,p95,61.221279,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,after,p99,62.942967,milliseconds,artifacts/capability_matrix_loop/CML15B_RESHARD_SLOTS_30/samples/workload_window.jsonl
