metric_group,window_id,metric_name,value,unit,source_path
operation_duration,operation_or_fault_apply,rolling_restart,0.637876,seconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/operation_command_trace.jsonl
cluster_slot_role_counts,after_recovery,nodes_observed,30,nodes,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,primary_count,15,nodes,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,replica_count,15,nodes,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_assigned,16384,slots,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_fail,0,slots,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/metrics_window.jsonl
workload_availability_percent,before,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_errors,before,error_count,0,count,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,before,p50,51.251271,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,before,p95,60.581386,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,before,p99,64.909541,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_availability_percent,during,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_errors,during,error_count,0,count,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,during,p50,62.675625,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,during,p95,68.350958,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,during,p99,68.461558,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_availability_percent,after,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_errors,after,error_count,0,count,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,after,p50,53.251937,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,after,p95,62.350744,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
workload_latency_ms,after,p99,63.93495,milliseconds,artifacts/capability_matrix_loop/CML15D_ROLLING_RESTART_ONE_PRIMARY_30/samples/workload_window.jsonl
