coverage_id,scale,node_count,category,row_name,stage_owner,required,execution_mode,status,status_reason,source_artifacts,validation_artifacts,metric_refs,cleanup_ref,review_ref,commit_sha
50.lifecycle.add_replica,50,50,lifecycle,add_replica,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.analysis_build,50,50,lifecycle,analysis_build,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.assign_slots,50,50,lifecycle,assign_slots,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.baseline_workload,50,50,lifecycle,baseline_workload,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.cleanup_verify,50,50,lifecycle,cleanup_verify,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.config_validate,50,50,lifecycle,config_validate,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.create_cluster,50,50,lifecycle,create_cluster,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.meet_nodes,50,50,lifecycle,meet_nodes,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.plan_cluster,50,50,lifecycle,plan_cluster,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.report_render,50,50,lifecycle,report_render,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.resource_preflight,50,50,lifecycle,resource_preflight,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.lifecycle.telemetry_collect,50,50,lifecycle,telemetry_collect,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P36_FULL_FLOW_E2E_50_100_200_REAL,,,,,,
50.management.add_replica,50,50,management,add_replica,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.create_cluster,50,50,management,create_cluster,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.meet_nodes,50,50,management,meet_nodes,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.rebalance_after_imbalance,50,50,management,rebalance_after_imbalance,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.remove_failed_node,50,50,management,remove_failed_node,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.remove_primary_drained_or_safe_replaced,50,50,management,remove_primary_drained_or_safe_replaced,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.remove_replica,50,50,management,remove_replica,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
50.management.reshard_slot_range,50,50,management,reshard_slot_range,P30_MANAGEMENT_MATRIX_50_REAL,True,real,PENDING,Awaiting exact-scale real evidence from P30_MANAGEMENT_MATRIX_50_REAL,,,,,,
