layer,surface,status,evidence_class,metric_count,real_valkey_coverage,dry_run_only,reason,source_artifacts
fake,cluster_build,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,management,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,workload,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,observability,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,fault,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,failover,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,stability,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,cleanup,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,scale,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
fake,report_visualization,SKIPPED_WITH_REASON,fake,1,false,false,All metrics in this cell are explicitly skipped with reason.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json
