metric,status,reason,impact,source_artifact,source_pointer,evidence_layer,dry_run_only
cluster_build.cleanup.cleanup_remove_containers_seconds,MISSING,30-node historical cleanup report predates cleanup_timing fields,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.21,30,false
cluster_build.cleanup.cleanup_remove_networks_seconds,MISSING,30-node historical cleanup report predates cleanup_timing fields,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.22,30,false
cluster_build.cleanup.cleanup_residual_scan_seconds,MISSING,30-node historical cleanup report predates cleanup_timing fields,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.23,30,false
cluster_build.cleanup.cleanup_terminate_processes_seconds,MISSING,30-node historical cleanup report predates cleanup_timing fields,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.18,30,false
cluster_build.cleanup.cleanup_verify_nodehost_empty_seconds,MISSING,30-node historical cleanup report predates cleanup_timing fields,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.20,30,false
cluster_build.cleanup.cleanup_verify_process_exit_seconds,MISSING,30-node historical cleanup report predates cleanup_timing fields,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.19,30,false
cluster_build.cluster_create.primary_cluster_create_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.6,30,false
cluster_build.cluster_create.replica_meet_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.7,30,false
cluster_build.process_startup.nodehost_start_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.2,30,false
cluster_build.process_startup.process_config_prepare_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.3,30,false
cluster_build.process_startup.process_ready_wait_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.5,30,false
cluster_build.process_startup.process_start_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.4,30,false
