category,comparison_id,latency_p50_delta_ms,latency_p95_delta_ms,latency_p99_delta_ms,row_id,source_stage_id,status
management,remove_failed_node-06,-11.882354,-11.854635,-11.42456,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_failed_node-10,-20.323874,-18.921415,-18.39625,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_primary_drained-06,-0.183,-12.180361,-13.106606,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_primary_drained-10,-4.556812,-26.15398,-28.95393,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_replica-06,-9.330104,-5.886533,-5.015773,P17_MANAGEMENT_REMOVE_NODE:remove_replica-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_replica-10,1.657459,-5.086906,-5.969981,P17_MANAGEMENT_REMOVE_NODE:remove_replica-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,rebalance_after_imbalance-06,-4.586396,-21.818273,-23.580288,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,rebalance_after_imbalance-10,-7.715876,-14.608144,-15.220829,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_slot_range-06,-7.273771,-7.141954,-7.046224,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_slot_range-10,6.608376,11.845481,12.574296,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_with_keys-06,-3.523145,-6.350694,-6.835439,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_with_keys-10,-1.769646,-1.688615,-1.53499,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,rolling_restart_primary_safe-06,-3.622709,-16.840268,-18.701153,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_primary_safe-10,-1.403042,3.276225,4.302145,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_replica_first-06,-0.917417,1.613671,2.351701,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_replica_first-10,-7.806687,-24.1382,-26.21304,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
failover,rung-100-sample-01,1.317,0.965,1.433,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-100-sample-02,-0.98,-1.108,-1.851,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-100-sample-03,0.926,1.051,1.577,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-30-sample-01,0.911,1.72,2.088,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-30-sample-02,1.076,1.292,0.886,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-30-sample-03,1.041,1.262,1.874,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-50-sample-01,1.367,1.335,1.694,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-50-sample-02,1.288,3.034,5.388,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-50-sample-03,0.993,0.685,0.291,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-200-sample-01,1.143,1.721,1.882,P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-01,P21_FAILOVER_LATENCY_CURVE_200,PASS
failover,rung-200-sample-02,1.371,2.17,6.243,P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-02,P21_FAILOVER_LATENCY_CURVE_200,PASS
failover,rung-200-sample-03,-0.85,-1.176,-1.457,P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-03,P21_FAILOVER_LATENCY_CURVE_200,PASS
fault,p22-10-az_stop,MISSING,MISSING,MISSING,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-az_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-10-node_host_stop,0.721,1.065,1.065,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-10-replica_stop,-0.027,-0.27,-0.27,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-30-az_stop,MISSING,MISSING,MISSING,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-az_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-30-node_host_stop,MISSING,MISSING,MISSING,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-30-replica_stop,0.0,0.425,0.425,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-6-az_stop,-2.326,-2.396,-2.396,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-az_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-6-node_host_stop,-1.112,-0.466,-0.466,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-6-replica_stop,-1.31,-1.755,-1.755,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p23-10-network_delay,170.237,172.018,172.018,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-10-network_flap,2.104,3.033,3.033,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-10-network_loss,0.535,0.458,0.458,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_delay,166.66,171.143,171.143,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_flap,2.677,2.422,2.422,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_loss,0.188,-1.132,-1.132,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p24-10-network_partition_majority,-0.262,0.207,0.207,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-10-network_partition_minority,MISSING,MISSING,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-10-split_brain_window_detection,-0.729,0.211,0.211,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-network_partition_majority,-0.426,0.232,0.232,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-network_partition_minority,MISSING,MISSING,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-split_brain_window_detection,0.081,0.358,0.358,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
