fault_id,fault_type,fault_window_qps_ratio,node_count,post_recovery_qps_ratio,row_id,sample_id,source_stage_id,status
,primary_stop_failover,0.5,100,0.395349,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-01,rung-100-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.0,100,0.375,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-02,rung-100-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.53125,100,0.435897,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-03,rung-100-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.46875,30,0.483871,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-01,rung-30-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.46875,30,0.428571,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-02,rung-30-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.5,30,0.470588,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-03,rung-30-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.470588,50,0.470588,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-01,rung-50-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.006399,50,0.517241,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-02,rung-50-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.586207,50,0.548387,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-03,rung-50-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
,primary_stop_failover,0.007288,200,0.274194,P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-01,rung-200-sample-01,P21_FAILOVER_LATENCY_CURVE_200,PASS
,primary_stop_failover,0.365854,200,0.416666,P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-02,rung-200-sample-02,P21_FAILOVER_LATENCY_CURVE_200,PASS
,primary_stop_failover,0.0,200,0.325581,P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-03,rung-200-sample-03,P21_FAILOVER_LATENCY_CURVE_200,PASS
p22-10-az_stop-fault,az_stop,0.0,10,0.722222,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-az_stop,p22-10-az_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-10-node_host_stop-fault,node_host_stop,0.75,10,0.8,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-node_host_stop,p22-10-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-10-replica_stop-fault,replica_stop,1.166668,10,0.777778,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-replica_stop,p22-10-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-30-az_stop-fault,az_stop,0.0,30,1.133334,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-az_stop,p22-30-az_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-30-node_host_stop-fault,node_host_stop,0.0,30,0.499999,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-node_host_stop,p22-30-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-30-replica_stop-fault,replica_stop,0.9,30,0.818182,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-replica_stop,p22-30-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-6-az_stop-fault,az_stop,2.857143,6,1.333333,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-az_stop,p22-6-az_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-6-node_host_stop-fault,node_host_stop,1.714286,6,0.571428,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-node_host_stop,p22-6-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p22-6-replica_stop-fault,replica_stop,1.727277,6,1.357144,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-replica_stop,p22-6-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
p23-10-network_delay-fault,network_delay,0.00987,10,1.111112,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_delay,p23-10-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
p23-10-network_flap-fault,network_flap,0.0092,10,1.0,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_flap,p23-10-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
p23-10-network_loss-fault,network_loss,0.75,10,0.9,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_loss,p23-10-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
p23-6-network_delay-fault,network_delay,0.008063,6,0.8,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_delay,p23-6-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
p23-6-network_flap-fault,network_flap,0.009417,6,0.9,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_flap,p23-6-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
p23-6-network_loss-fault,network_loss,0.933333,6,0.636364,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_loss,p23-6-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
p24-10-network_partition_majority-fault,network_partition_majority,1.071429,10,0.714286,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_majority,p24-10-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
p24-10-network_partition_minority-fault,network_partition_minority,0.0,10,0.0,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_minority,p24-10-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
p24-10-split_brain_window_detection-fault,split_brain_window_detection,1.124999,10,1.199999,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-split_brain_window_detection,p24-10-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
p24-6-network_partition_majority-fault,network_partition_majority,1.0,6,1.333333,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_majority,p24-6-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
p24-6-network_partition_minority-fault,network_partition_minority,0.0,6,0.0,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_minority,p24-6-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
p24-6-split_brain_window_detection-fault,split_brain_window_detection,0.75,6,0.375,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-split_brain_window_detection,p24-6-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
