coverage_id,scale,category,row_name,execution_mode,status,status_reason,source_stage,source_artifact,method
50.fault.az_stop,50,fault,az_stop,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.fault_period_workload_impact,50,fault,fault_period_workload_impact,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.majority_partition,50,fault,majority_partition,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.minority_partition,50,fault,minority_partition,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.network_delay,50,fault,network_delay,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.network_flap,50,fault,network_flap,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.network_loss,50,fault,network_loss,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.network_partition,50,fault,network_partition,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.node_host_stop,50,fault,node_host_stop,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.primary_stop_failover,50,fault,primary_stop_failover,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.replica_stop,50,fault,replica_stop,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.fault.split_brain_window_detection,50,fault,split_brain_window_detection,real,PASS,Real exact-50 fault/failover row executed and verified.,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.add_replica,50,lifecycle,add_replica,real,PASS,P36 exact-50 lifecycle step add_replica executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.analysis_build,50,lifecycle,analysis_build,real,PASS,P36 exact-50 lifecycle step analysis_build executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.assign_slots,50,lifecycle,assign_slots,real,PASS,P36 exact-50 lifecycle step assign_slots executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.baseline_workload,50,lifecycle,baseline_workload,real,PASS,P36 exact-50 lifecycle step baseline_workload executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.cleanup_verify,50,lifecycle,cleanup_verify,real,PASS,P36 exact-50 lifecycle step cleanup_verify executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.config_validate,50,lifecycle,config_validate,real,PASS,P36 exact-50 lifecycle step config_validate executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.create_cluster,50,lifecycle,create_cluster,real,PASS,P36 exact-50 lifecycle step create_cluster executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.meet_nodes,50,lifecycle,meet_nodes,real,PASS,P36 exact-50 lifecycle step meet_nodes executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.plan_cluster,50,lifecycle,plan_cluster,real,PASS,P36 exact-50 lifecycle step plan_cluster executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.report_render,50,lifecycle,report_render,real,PASS,P36 exact-50 lifecycle step report_render executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.resource_preflight,50,lifecycle,resource_preflight,real,PASS,P36 exact-50 lifecycle step resource_preflight executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,real,PASS,P36 exact-50 lifecycle step telemetry_collect executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.add_replica,50,management,add_replica,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.create_cluster,50,management,create_cluster,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.meet_nodes,50,management,meet_nodes,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.remove_failed_node,50,management,remove_failed_node,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.remove_replica,50,management,remove_replica,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.reshard_slot_range,50,management,reshard_slot_range,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.reshard_with_keys,50,management,reshard_with_keys,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
50.management.rolling_restart_replica_first,50,management,rolling_restart_replica_first,real,PASS,Real exact-50 management operation executed and verified.,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.az_stop,100,fault,az_stop,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.fault_period_workload_impact,100,fault,fault_period_workload_impact,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.majority_partition,100,fault,majority_partition,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.minority_partition,100,fault,minority_partition,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.network_delay,100,fault,network_delay,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.network_flap,100,fault,network_flap,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.network_loss,100,fault,network_loss,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.network_partition,100,fault,network_partition,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.node_host_stop,100,fault,node_host_stop,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.primary_stop_failover,100,fault,primary_stop_failover,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.replica_stop,100,fault,replica_stop,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.fault.split_brain_window_detection,100,fault,split_brain_window_detection,real,PASS,Real exact-100 fault/failover row executed and verified.,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.add_replica,100,lifecycle,add_replica,real,PASS,P36 exact-100 lifecycle step add_replica executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.analysis_build,100,lifecycle,analysis_build,real,PASS,P36 exact-100 lifecycle step analysis_build executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.assign_slots,100,lifecycle,assign_slots,real,PASS,P36 exact-100 lifecycle step assign_slots executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.baseline_workload,100,lifecycle,baseline_workload,real,PASS,P36 exact-100 lifecycle step baseline_workload executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.cleanup_verify,100,lifecycle,cleanup_verify,real,PASS,P36 exact-100 lifecycle step cleanup_verify executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.config_validate,100,lifecycle,config_validate,real,PASS,P36 exact-100 lifecycle step config_validate executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.create_cluster,100,lifecycle,create_cluster,real,PASS,P36 exact-100 lifecycle step create_cluster executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.meet_nodes,100,lifecycle,meet_nodes,real,PASS,P36 exact-100 lifecycle step meet_nodes executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.plan_cluster,100,lifecycle,plan_cluster,real,PASS,P36 exact-100 lifecycle step plan_cluster executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.report_render,100,lifecycle,report_render,real,PASS,P36 exact-100 lifecycle step report_render executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.resource_preflight,100,lifecycle,resource_preflight,real,PASS,P36 exact-100 lifecycle step resource_preflight executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.lifecycle.telemetry_collect,100,lifecycle,telemetry_collect,real,PASS,P36 exact-100 lifecycle step telemetry_collect executed through the full-flow scenario and verified by scoped evidence.,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.management.add_replica,100,management,add_replica,real,PASS,Real exact-100 management operation executed and verified.,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.management.create_cluster,100,management,create_cluster,real,PASS,Real exact-100 management operation executed and verified.,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.management.meet_nodes,100,management,meet_nodes,real,PASS,Real exact-100 management operation executed and verified.,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
100.management.rebalance_after_imbalance,100,management,rebalance_after_imbalance,real,PASS,Real exact-100 management operation executed and verified.,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/coverage/strict_coverage_registry.json,copy_strict_coverage_registry_row
