coverage_id,scale,fault_type,window_name,status,duration_ms,availability_percent,errors_total,timeouts_total,latency_p50_ms,latency_p95_ms,source_stage,source_artifact,method
50.fault.az_stop,50,az_stop,event,PASS,17,100.0,0,0,2.238,2.99,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.fault_period_workload_impact,50,fault_period_workload_impact,event,PASS,27,100.0,0,0,3.328,3.68,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.majority_partition,50,majority_partition,event,PASS,3,0.0,12,0,0.0,0.0,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.minority_partition,50,minority_partition,event,PASS,3,0.0,12,0,0.0,0.0,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.network_delay,50,network_delay,event,PASS,1935,100.0,0,0,161.877,164.217,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.network_flap,50,network_flap,event,PASS,25,50.0,6,0,3.462,4.475,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.network_loss,50,network_loss,event,PASS,18,50.0,6,0,2.057,4.498,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.network_partition,50,network_partition,event,PASS,4,0.0,12,0,0.0,0.0,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.node_host_stop,50,node_host_stop,event,PASS,9,12.5,7,0,2.797,2.797,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.primary_stop_failover,50,primary_stop_failover,event,PASS,15,100.0,0,0,1.947,2.326,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.primary_stop_failover,50,primary_stop_failover,event,PASS,14,100.0,0,0,1.679,2.508,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.primary_stop_failover,50,primary_stop_failover,event,PASS,13,100.0,0,0,1.565,2.382,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.replica_stop,50,replica_stop,event,PASS,4,0.0,8,0,0.0,0.0,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
50.fault.split_brain_window_detection,50,split_brain_window_detection,event,PASS,29,100.0,0,0,3.699,5.429,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.az_stop,100,az_stop,event,PASS,15,100.0,0,0,1.867,2.809,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.fault_period_workload_impact,100,fault_period_workload_impact,event,PASS,23,100.0,0,0,2.538,7.809,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.majority_partition,100,majority_partition,event,PASS,4,0.0,12,0,0.0,0.0,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.minority_partition,100,minority_partition,event,PASS,5,0.0,12,0,0.0,0.0,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.network_delay,100,network_delay,event,PASS,1927,100.0,0,0,160.692,164.014,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.network_flap,100,network_flap,event,PASS,21,66.667,4,0,2.428,4.592,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.network_loss,100,network_loss,event,PASS,22,50.0,6,0,2.776,5.454,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.network_partition,100,network_partition,event,PASS,5,0.0,12,0,0.0,0.0,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.node_host_stop,100,node_host_stop,event,PASS,15,100.0,0,0,1.891,2.199,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.primary_stop_failover,100,primary_stop_failover,event,PASS,16,100.0,0,0,1.863,2.479,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.primary_stop_failover,100,primary_stop_failover,event,PASS,14,100.0,0,0,1.942,2.421,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.primary_stop_failover,100,primary_stop_failover,event,PASS,541,75.0,2,0,1.887,2.278,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.replica_stop,100,replica_stop,event,PASS,15,100.0,0,0,1.938,2.396,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
100.fault.split_brain_window_detection,100,split_brain_window_detection,event,PASS,21,100.0,0,0,2.85,3.167,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.az_stop,200,az_stop,event,PASS,18,100.0,0,0,2.042,3.885,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.fault_period_workload_impact,200,fault_period_workload_impact,event,PASS,31,100.0,0,0,3.694,6.774,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.majority_partition,200,majority_partition,event,PASS,3,0.0,12,0,0.0,0.0,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.minority_partition,200,minority_partition,event,PASS,5,0.0,12,0,0.0,0.0,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.network_delay,200,network_delay,event,PASS,1988,100.0,0,0,166.827,169.776,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.network_flap,200,network_flap,event,PASS,20,33.333,8,0,4.107,7.113,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.network_loss,200,network_loss,event,PASS,17,50.0,6,0,1.597,4.317,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.network_partition,200,network_partition,event,PASS,2,0.0,12,0,0.0,0.0,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.node_host_stop,200,node_host_stop,event,PASS,16,100.0,0,0,2.373,2.562,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.primary_stop_failover,200,primary_stop_failover,event,PASS,3483,0.0,8,1,0.0,0.0,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.primary_stop_failover,200,primary_stop_failover,event,PASS,342,0.0,8,0,0.0,0.0,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.primary_stop_failover,200,primary_stop_failover,event,PASS,438,75.0,2,0,2.446,3.301,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.replica_stop,200,replica_stop,event,PASS,17,100.0,0,0,1.763,4.054,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
200.fault.split_brain_window_detection,200,split_brain_window_detection,event,PASS,28,100.0,0,0,3.784,4.933,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/fault_workload_impact.json,copy_fault_workload_impact_event_window
