coverage_id,scale,category,row_name,window_name,achieved_qps,error_rate,latency_p95_ms,sample_count,source_stage,source_artifact,method
50.fault.az_stop,50,fault,az_stop,event,470.588,0.0,2.99,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.fault_period_workload_impact,50,fault,fault_period_workload_impact,event,296.296,0.0,3.68,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.majority_partition,50,fault,majority_partition,event,0.0,1.0,0.0,12,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.minority_partition,50,fault,minority_partition,event,0.0,1.0,0.0,12,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.network_delay,50,fault,network_delay,event,6.202,0.0,164.217,12,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.network_flap,50,fault,network_flap,event,240.0,0.5,4.475,12,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.network_loss,50,fault,network_loss,event,333.333,0.5,4.498,12,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.network_partition,50,fault,network_partition,event,0.0,1.0,0.0,12,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.node_host_stop,50,fault,node_host_stop,event,111.111,0.875,2.797,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.primary_stop_failover,50,fault,primary_stop_failover,event,533.333,0.0,2.326,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.primary_stop_failover,50,fault,primary_stop_failover,event,571.429,0.0,2.508,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.primary_stop_failover,50,fault,primary_stop_failover,event,615.385,0.0,2.382,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.replica_stop,50,fault,replica_stop,event,0.0,1.0,0.0,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.fault.split_brain_window_detection,50,fault,split_brain_window_detection,event,275.862,0.0,5.429,8,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.baseline_workload,50,lifecycle,baseline_workload,baseline,14.021689,0.0,76.257052,6,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,all_run,6.959535,0.0,86.373165,20,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,all_run,13.622509,0.0,73.345561,20,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,baseline,13.151735,0.0,78.761964,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,baseline,13.994149,0.0,77.89786,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,event,2.325086,0.0,82.880417,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,event,9.67735,0.0,72.254314,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,post_recovery,13.654922,0.0,94.413044,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,post_recovery,15.319224,0.0,71.203591,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,pre_event,15.235546,0.0,73.738819,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,pre_event,15.079919,0.0,70.399823,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,recovery,13.659278,0.0,78.762283,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.lifecycle.telemetry_collect,50,lifecycle,telemetry_collect,recovery,16.565219,0.0,70.903342,4,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/workload_windows.json,copy_workload_window_metrics
50.management.add_replica,50,management,add_replica,all_run,10.856456,0.0,77.800601,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.add_replica,50,management,add_replica,baseline,15.404439,0.0,67.193517,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.add_replica,50,management,add_replica,event,5.269817,0.0,74.853031,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.add_replica,50,management,add_replica,post_recovery,14.215664,0.0,76.777078,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.add_replica,50,management,add_replica,pre_event,14.945866,0.0,70.789773,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.add_replica,50,management,add_replica,recovery,14.631577,0.0,76.870591,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
