capability_id,status,scale_nodes,target_scale_nodes,source_stage
cluster_management_scale_30,PASS,30,30,CML02_CLUSTER_MANAGEMENT_REAL_OPS_30
process_nodehost_faults_30,PASS,30,30,CML03_PROCESS_AND_NODEHOST_FAULTS_30
network_az_faults_30,PASS,30,30,CML04_NETWORK_PARTITION_AND_AZ_FAULTS_30
failover_latency_recovery_30,PASS,30,30,CML05_FAILOVER_LATENCY_AND_RECOVERY_30
split_brain_indicators_30,PASS,30,30,CML06_SPLIT_BRAIN_INDICATORS_30
workload_fault_windows_30,PASS,30,30,CML07_WORKLOAD_FAULT_WINDOWS_30
bounded_soak_30_60_minutes,PASS,30,30,CML08_BOUNDED_SOAK_30_60_MINUTES
cluster_management_scale_50,PASS,50,50,P13_SCALE_LADDER_50_100
process_nodehost_faults_50,PASS,50,50,P13_SCALE_LADDER_50_100
failover_latency_recovery_50,PASS,50,50,P13_SCALE_LADDER_50_100
split_brain_indicators_50,PASS,50,50,P13_SCALE_LADDER_50_100
workload_fault_windows_50,PASS,50,50,P13_SCALE_LADDER_50_100
network_az_faults_50,UNSUPPORTED_WITH_EVIDENCE,50,50,P13_SCALE_LADDER_50_100
cluster_management_scale_100,PASS,100,100,P13_SCALE_LADDER_50_100
process_nodehost_faults_100,PASS,100,100,P13_SCALE_LADDER_50_100
failover_latency_recovery_100,PASS,100,100,P13_SCALE_LADDER_50_100
split_brain_indicators_100,PASS,100,100,P13_SCALE_LADDER_50_100
workload_fault_windows_100,PASS,100,100,P13_SCALE_LADDER_50_100
network_az_faults_100,UNSUPPORTED_WITH_EVIDENCE,100,100,P13_SCALE_LADDER_50_100
future_scale_200_support,SKIPPED_WITH_REASON,0,200,CML12_FUTURE_SCALE_200_500_1000_SUPPORT
future_scale_500_support,SKIPPED_WITH_REASON,0,500,CML12_FUTURE_SCALE_200_500_1000_SUPPORT
future_scale_1000_support,UNSUPPORTED_WITH_EVIDENCE,0,1000,CML12_FUTURE_SCALE_200_500_1000_SUPPORT
