metric_group,window_id,metric_name,value,unit,source_path
operation_duration,operation_or_fault_apply,rebalance_slots,0.051261,seconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/operation_command_trace.jsonl
cluster_slot_role_counts,after_recovery,nodes_observed,30,nodes,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,primary_count,15,nodes,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,replica_count,15,nodes,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_assigned,16384,slots,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_fail,0,slots,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/metrics_window.jsonl
workload_availability_percent,before,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_errors,before,error_count,0,count,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,before,p50,52.956271,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,before,p95,65.575759,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,before,p99,65.797403,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_availability_percent,during,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_errors,during,error_count,0,count,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,during,p50,43.794375,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,during,p95,57.406521,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,during,p99,63.004959,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_availability_percent,after,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_errors,after,error_count,0,count,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,after,p50,51.331938,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,after,p95,62.976271,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
workload_latency_ms,after,p99,64.739582,milliseconds,artifacts/capability_matrix_loop/CML15C_REBALANCE_SLOTS_30/samples/workload_window.jsonl
