metric_group,window_id,metric_name,value,unit,source_path
operation_duration,operation_or_fault_apply,add_node,0.077456,seconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/operation_command_trace.jsonl
operation_duration,operation_or_fault_apply,remove_node,1.125269,seconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/operation_command_trace.jsonl
operation_duration,operation_or_fault_apply,reshard_slots,0.072206,seconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/operation_command_trace.jsonl
operation_duration,operation_or_fault_apply,rebalance_slots,0.051261,seconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/operation_command_trace.jsonl
operation_duration,operation_or_fault_apply,rolling_restart,0.637876,seconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/operation_command_trace.jsonl
cluster_slot_role_counts,after_recovery,nodes_observed,30,nodes,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,primary_count,15,nodes,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,replica_count,15,nodes,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_assigned,16384,slots,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/metrics_window.jsonl
cluster_slot_role_counts,after_recovery,slots_fail,0,slots,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/metrics_window.jsonl
workload_availability_percent,before,availability_percent,100.0,percent,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/workload_window.jsonl
workload_errors,before,error_count,0,count,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/workload_window.jsonl
workload_latency_ms,before,p50,0.0,milliseconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/workload_window.jsonl
workload_latency_ms,before,p95,0.0,milliseconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/workload_window.jsonl
workload_latency_ms,before,p99,0.0,milliseconds,artifacts/capability_matrix_loop/CML15E_LIFECYCLE_MATRIX_REPORT_30/samples/workload_window.jsonl
