coverage_id,scale,node_count,category,row_name,stage_owner,required,execution_mode,status,status_reason,source_artifacts,validation_artifacts,metric_refs,cleanup_ref,review_ref,commit_sha
50.lifecycle.add_replica,50,50,lifecycle,add_replica,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step add_replica executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.analysis_build,50,50,lifecycle,analysis_build,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step analysis_build executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.assign_slots,50,50,lifecycle,assign_slots,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step assign_slots executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.baseline_workload,50,50,lifecycle,baseline_workload,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step baseline_workload executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.cleanup_verify,50,50,lifecycle,cleanup_verify,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step cleanup_verify executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.config_validate,50,50,lifecycle,config_validate,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step config_validate executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.create_cluster,50,50,lifecycle,create_cluster,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step create_cluster executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.meet_nodes,50,50,lifecycle,meet_nodes,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step meet_nodes executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.plan_cluster,50,50,lifecycle,plan_cluster,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step plan_cluster executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
50.lifecycle.report_render,50,50,lifecycle,report_render,P36_FULL_FLOW_E2E_50_100_200_REAL,True,real,PASS,P36 exact-50 lifecycle step report_render executed through the full-flow scenario and verified by scoped evidence.,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/full_flow_result.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/valkey_e2e_evidence.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_matrix.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_results.jsonl;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/analysis_summary.json;artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/report_index.json,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/metrics_timeseries.jsonl,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,artifacts/goal_loop_strict/P36_FULL_FLOW_E2E_50_100_200_REAL/REVIEW.md,PENDING_REVIEW_AND_COMMIT
