category,comparison_id,error_rate_delta,event_cluster_down_error_count,event_error_ops,row_id,source_stage_id,status
management,remove_failed_node-06,0.0,0,0,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_failed_node-10,0.0,0,0,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_primary_drained-06,0.0,0,0,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_primary_drained-10,0.0,0,0,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_replica-06,0.0,0,0,P17_MANAGEMENT_REMOVE_NODE:remove_replica-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_replica-10,0.0,0,0,P17_MANAGEMENT_REMOVE_NODE:remove_replica-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,rebalance_after_imbalance-06,0.0,0,0,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,rebalance_after_imbalance-10,0.0,0,0,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_slot_range-06,0.0,0,0,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_slot_range-10,0.0,0,0,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_with_keys-06,0.0,0,0,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_with_keys-10,0.0,0,0,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,rolling_restart_primary_safe-06,0.0,0,0,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_primary_safe-10,0.0,0,0,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_replica_first-06,0.0,0,0,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_replica_first-10,0.0,0,0,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
failover,rung-100-sample-01,0.0,0,0,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-100-sample-02,1.0,0,16,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-100-sample-03,0.0,0,0,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-30-sample-01,0.0,0,0,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-30-sample-02,0.0,0,0,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-30-sample-03,0.0,0,0,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-50-sample-01,0.0,0,0,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-50-sample-02,0.125,0,2,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
