category,comparison_id,post_recovery_qps_ratio,recovery_duration_ms,row_id,source_stage_id,status
management,remove_failed_node-06,1.1721,264.395,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_failed_node-10,1.086473,255.696,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_primary_drained-06,1.079438,261.506,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_primary_drained-10,0.951753,261.147,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_replica-06,1.04429,265.034,P17_MANAGEMENT_REMOVE_NODE:remove_replica-06,P17_MANAGEMENT_REMOVE_NODE,PASS
management,remove_replica-10,0.977896,266.518,P17_MANAGEMENT_REMOVE_NODE:remove_replica-10,P17_MANAGEMENT_REMOVE_NODE,PASS
management,rebalance_after_imbalance-06,1.220578,261.198,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,rebalance_after_imbalance-10,1.101763,273.846,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_slot_range-06,1.053188,274.501,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_slot_range-10,0.960896,254.673,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_with_keys-06,1.086154,262.08,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,reshard_with_keys-10,0.940785,251.306,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
management,rolling_restart_primary_safe-06,1.36331,231.472,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_primary_safe-10,1.119903,251.62,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_replica_first-06,1.023197,269.13,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
management,rolling_restart_replica_first-10,1.206126,266.112,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
failover,rung-100-sample-01,0.395349,MISSING,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-01,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-100-sample-02,0.375,MISSING,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-02,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
failover,rung-100-sample-03,0.435897,MISSING,P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-03,P20_FAILOVER_LATENCY_CURVE_30_50_100,PASS
