fault_or_operation_qps_ratio,node_count,operation_id,operation_name,post_recovery_qps_ratio,row_id,source_stage_id,status
0.428359,6,remove_failed_node-06,remove_failed_node,1.1721,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-06,P17_MANAGEMENT_REMOVE_NODE,PASS
0.391778,10,remove_failed_node-10,remove_failed_node,1.086473,P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-10,P17_MANAGEMENT_REMOVE_NODE,PASS
0.385516,6,remove_primary_drained-06,remove_primary_drained,1.079438,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-06,P17_MANAGEMENT_REMOVE_NODE,PASS
0.394108,10,remove_primary_drained-10,remove_primary_drained,0.951753,P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-10,P17_MANAGEMENT_REMOVE_NODE,PASS
0.382718,6,remove_replica-06,remove_replica,1.04429,P17_MANAGEMENT_REMOVE_NODE:remove_replica-06,P17_MANAGEMENT_REMOVE_NODE,PASS
0.359685,10,remove_replica-10,remove_replica,0.977896,P17_MANAGEMENT_REMOVE_NODE:remove_replica-10,P17_MANAGEMENT_REMOVE_NODE,PASS
0.306529,6,rebalance_after_imbalance-06,rebalance_after_imbalance,1.220578,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
0.26414,10,rebalance_after_imbalance-10,rebalance_after_imbalance,1.101763,P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
0.460894,6,reshard_slot_range-06,reshard_slot_range,1.053188,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
0.32136,10,reshard_slot_range-10,reshard_slot_range,0.960896,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
0.238361,6,reshard_with_keys-06,reshard_with_keys,1.086154,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-06,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
0.198471,10,reshard_with_keys-10,reshard_with_keys,0.940785,P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-10,P18_MANAGEMENT_RESHARD_REBALANCE,PASS
0.028583,6,rolling_restart_primary_safe-06,rolling_restart_primary_safe,1.36331,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
0.019179,10,rolling_restart_primary_safe-10,rolling_restart_primary_safe,1.119903,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
0.016615,6,rolling_restart_replica_first-06,rolling_restart_replica_first,1.023197,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-06,P19_MANAGEMENT_ROLLING_RESTART,PASS
0.011078,10,rolling_restart_replica_first-10,rolling_restart_replica_first,1.206126,P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-10,P19_MANAGEMENT_ROLLING_RESTART,PASS
