row_id,category,source_stage_id,operation_or_fault,node_count,status,qps_ratio,latency_p99_delta_ms,error_rate_delta,recovery_duration_ms,source_artifacts,reason
P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-06,management,P17_MANAGEMENT_REMOVE_NODE,remove_failed_node,6,PASS,0.428359,-11.42456,0.0,264.395,artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/management_operation_results.jsonl;artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/workload_windows.json,
P17_MANAGEMENT_REMOVE_NODE:remove_failed_node-10,management,P17_MANAGEMENT_REMOVE_NODE,remove_failed_node,10,PASS,0.391778,-18.39625,0.0,255.696,artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/management_operation_results.jsonl;artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/workload_windows.json,
P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-06,management,P17_MANAGEMENT_REMOVE_NODE,remove_primary_drained,6,PASS,0.385516,-13.106606,0.0,261.506,artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/management_operation_results.jsonl;artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/workload_windows.json,
P17_MANAGEMENT_REMOVE_NODE:remove_primary_drained-10,management,P17_MANAGEMENT_REMOVE_NODE,remove_primary_drained,10,PASS,0.394108,-28.95393,0.0,261.147,artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/management_operation_results.jsonl;artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/workload_windows.json,
P17_MANAGEMENT_REMOVE_NODE:remove_replica-06,management,P17_MANAGEMENT_REMOVE_NODE,remove_replica,6,PASS,0.382718,-5.015773,0.0,265.034,artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/management_operation_results.jsonl;artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/workload_windows.json,
P17_MANAGEMENT_REMOVE_NODE:remove_replica-10,management,P17_MANAGEMENT_REMOVE_NODE,remove_replica,10,PASS,0.359685,-5.969981,0.0,266.518,artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/management_operation_results.jsonl;artifacts/phases/P17_MANAGEMENT_REMOVE_NODE/workload_windows.json,
P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-06,management,P18_MANAGEMENT_RESHARD_REBALANCE,rebalance_after_imbalance,6,PASS,0.306529,-23.580288,0.0,261.198,artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/management_operation_results.jsonl;artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/workload_windows.json,
P18_MANAGEMENT_RESHARD_REBALANCE:rebalance_after_imbalance-10,management,P18_MANAGEMENT_RESHARD_REBALANCE,rebalance_after_imbalance,10,PASS,0.26414,-15.220829,0.0,273.846,artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/management_operation_results.jsonl;artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/workload_windows.json,
P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-06,management,P18_MANAGEMENT_RESHARD_REBALANCE,reshard_slot_range,6,PASS,0.460894,-7.046224,0.0,274.501,artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/management_operation_results.jsonl;artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/workload_windows.json,
P18_MANAGEMENT_RESHARD_REBALANCE:reshard_slot_range-10,management,P18_MANAGEMENT_RESHARD_REBALANCE,reshard_slot_range,10,PASS,0.32136,12.574296,0.0,254.673,artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/management_operation_results.jsonl;artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/workload_windows.json,
P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-06,management,P18_MANAGEMENT_RESHARD_REBALANCE,reshard_with_keys,6,PASS,0.238361,-6.835439,0.0,262.08,artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/management_operation_results.jsonl;artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/workload_windows.json,
P18_MANAGEMENT_RESHARD_REBALANCE:reshard_with_keys-10,management,P18_MANAGEMENT_RESHARD_REBALANCE,reshard_with_keys,10,PASS,0.198471,-1.53499,0.0,251.306,artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/management_operation_results.jsonl;artifacts/phases/P18_MANAGEMENT_RESHARD_REBALANCE/workload_windows.json,
P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-06,management,P19_MANAGEMENT_ROLLING_RESTART,rolling_restart_primary_safe,6,PASS,0.028583,-18.701153,0.0,231.472,artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/management_operation_results.jsonl;artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/workload_windows.json,
P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_primary_safe-10,management,P19_MANAGEMENT_ROLLING_RESTART,rolling_restart_primary_safe,10,PASS,0.019179,4.302145,0.0,251.62,artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/management_operation_results.jsonl;artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/workload_windows.json,
P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-06,management,P19_MANAGEMENT_ROLLING_RESTART,rolling_restart_replica_first,6,PASS,0.016615,2.351701,0.0,269.13,artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/management_operation_results.jsonl;artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/workload_windows.json,
P19_MANAGEMENT_ROLLING_RESTART:rolling_restart_replica_first-10,management,P19_MANAGEMENT_ROLLING_RESTART,rolling_restart_replica_first,10,PASS,0.011078,-26.21304,0.0,266.112,artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/management_operation_results.jsonl;artifacts/phases/P19_MANAGEMENT_ROLLING_RESTART/workload_windows.json,
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-01,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,100,PASS,0.5,1.433,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-02,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,100,PASS,0.0,-1.851,1.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-100-sample-03,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,100,PASS,0.53125,1.577,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-01,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,30,PASS,0.46875,2.088,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-02,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,30,PASS,0.46875,0.886,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-30-sample-03,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,30,PASS,0.5,1.874,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-01,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,50,PASS,0.470588,1.694,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-02,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,50,PASS,0.006399,5.388,0.125,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P20_FAILOVER_LATENCY_CURVE_30_50_100:rung-50-sample-03,failover,P20_FAILOVER_LATENCY_CURVE_30_50_100,primary_stop_failover,50,PASS,0.586207,0.291,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/failover_latency_samples.jsonl;artifacts/phases/P20_FAILOVER_LATENCY_CURVE_30_50_100/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-01,failover,P21_FAILOVER_LATENCY_CURVE_200,primary_stop_failover,200,PASS,0.007288,1.882,0.125,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P21_FAILOVER_LATENCY_CURVE_200/failover_latency_samples_200.jsonl;artifacts/phases/P21_FAILOVER_LATENCY_CURVE_200/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-02,failover,P21_FAILOVER_LATENCY_CURVE_200,primary_stop_failover,200,PASS,0.365854,6.243,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P21_FAILOVER_LATENCY_CURVE_200/failover_latency_samples_200.jsonl;artifacts/phases/P21_FAILOVER_LATENCY_CURVE_200/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
