coverage_id,scale,category,execution_mode,status,cleanup_status,runtime_resources_created,source_stage,source_artifact,method
50.fault.cleanup_verify,50,fault,real,PASS,PASS,false_after_cleanup,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/cleanup_report.json,copy_cleanup_report_status
50.lifecycle.cleanup_verify,50,lifecycle,real,PASS,PASS,false_after_cleanup,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/cleanup_report.json,copy_cleanup_report_status
50.management.cleanup_verify,50,management,real,PASS,PASS,false_after_cleanup,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,copy_cleanup_report_status
100.fault.cleanup_verify,100,fault,real,PASS,PASS,false_after_cleanup,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/cleanup_report.json,copy_cleanup_report_status
100.lifecycle.cleanup_verify,100,lifecycle,real,PASS,PASS,false_after_cleanup,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_100/cleanup_report.json,copy_cleanup_report_status
100.management.cleanup_verify,100,management,real,PASS,PASS,false_after_cleanup,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/cleanup_report.json,copy_cleanup_report_status
200.fault.cleanup_verify,200,fault,real,PASS,PASS,false_after_cleanup,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/cleanup_report.json,copy_cleanup_report_status
200.lifecycle.cleanup_verify,200,lifecycle,real,PASS,PASS,false_after_cleanup,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_200/cleanup_report.json,copy_cleanup_report_status
200.management.cleanup_verify,200,management,real,PASS,PASS,false_after_cleanup,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/cleanup_report.json,copy_cleanup_report_status
201.dry_run.no_runtime_created_proof,201,dry_run,dry_run,PASS,PASS,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/no_runtime_created_proof_201.json,copy_no_runtime_created_proof
250.dry_run.no_runtime_created_proof,250,dry_run,dry_run,PASS,PASS,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/no_runtime_created_proof_250.json,copy_no_runtime_created_proof
300.dry_run.no_runtime_created_proof,300,dry_run,dry_run,PASS,PASS,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/no_runtime_created_proof_300.json,copy_no_runtime_created_proof
500.dry_run.no_runtime_created_proof,500,dry_run,dry_run,PASS,PASS,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/no_runtime_created_proof_500.json,copy_no_runtime_created_proof
1000.dry_run.no_runtime_created_proof,1000,dry_run,dry_run,PASS,PASS,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/no_runtime_created_proof_1000.json,copy_no_runtime_created_proof
