coverage_id,scale,operation_name,convergence_ms,cluster_state_before,cluster_state_after,slots_ok_before,slots_ok_after,known_nodes_before,known_nodes_after,errors_total,source_stage,source_artifact,source_line,method
50.management.add_replica,50,add_replica,0.0,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,3,jsonl_row_projection
50.management.create_cluster,50,create_cluster,0.0,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,1,jsonl_row_projection
50.management.meet_nodes,50,meet_nodes,0.0,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,2,jsonl_row_projection
50.management.rebalance_after_imbalance,50,rebalance_after_imbalance,3465.751875,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,6,jsonl_row_projection
50.management.remove_failed_node,50,remove_failed_node,38574.096625,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,10,jsonl_row_projection
50.management.remove_primary_drained_or_safe_replaced,50,remove_primary_drained_or_safe_replaced,36556.047209,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,11,jsonl_row_projection
50.management.remove_replica,50,remove_replica,51358.224209,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,9,jsonl_row_projection
50.management.reshard_slot_range,50,reshard_slot_range,757.0625,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,4,jsonl_row_projection
50.management.reshard_with_keys,50,reshard_with_keys,1385.535333,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,5,jsonl_row_projection
50.management.rolling_restart_primary_safe,50,rolling_restart_primary_safe,51423.109834,ok,ok,16384,16384,50,50,0.0,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,8,jsonl_row_projection
