coverage_id,scale,operation_name,operation_status,duration_ms,command_ms,prepare_ms,cleanup_ms,latency_method,source_stage,source_artifact,source_line,method
50.management.add_replica,50,add_replica,PASS,167.249375,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,3,jsonl_row_projection
50.management.create_cluster,50,create_cluster,PASS,195.09025,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,1,jsonl_row_projection
50.management.meet_nodes,50,meet_nodes,PASS,181.923125,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,2,jsonl_row_projection
50.management.rebalance_after_imbalance,50,rebalance_after_imbalance,PASS,3736.893416,3841.603375,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,6,jsonl_row_projection
50.management.remove_failed_node,50,remove_failed_node,PASS,38573.315334,38677.528167,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,10,jsonl_row_projection
50.management.remove_primary_drained_or_safe_replaced,50,remove_primary_drained_or_safe_replaced,PASS,36555.270334,36674.457292,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,11,jsonl_row_projection
50.management.remove_replica,50,remove_replica,PASS,51357.639875,51524.865791,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,9,jsonl_row_projection
50.management.reshard_slot_range,50,reshard_slot_range,PASS,1054.57475,1165.875334,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,4,jsonl_row_projection
50.management.reshard_with_keys,50,reshard_with_keys,PASS,1678.922875,1781.321083,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,5,jsonl_row_projection
50.management.rolling_restart_primary_safe,50,rolling_restart_primary_safe,PASS,51422.7935,51536.276667,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,8,jsonl_row_projection
50.management.rolling_restart_replica_first,50,rolling_restart_replica_first,PASS,93018.311042,93125.8305,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,7,jsonl_row_projection
100.management.add_replica,100,add_replica,PASS,360.151458,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,3,jsonl_row_projection
100.management.create_cluster,100,create_cluster,PASS,343.989542,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,1,jsonl_row_projection
100.management.meet_nodes,100,meet_nodes,PASS,334.044584,MISSING,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,2,jsonl_row_projection
100.management.rebalance_after_imbalance,100,rebalance_after_imbalance,PASS,26666.747375,26897.993125,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,6,jsonl_row_projection
100.management.remove_failed_node,100,remove_failed_node,PASS,43561.341458,43773.096292,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,10,jsonl_row_projection
100.management.remove_primary_drained_or_safe_replaced,100,remove_primary_drained_or_safe_replaced,PASS,57940.794208,58177.197083,0.0,0.0,duration_ms copied from source monotonic operation timing; command_ms MISSING when source missing_fields marks it missing,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,11,jsonl_row_projection
