coverage_id,scale,category,execution_mode,node_count,required_memory_mb,memory_per_node_mb,projected_node_memory_mb,required_disk_free_mb,runtime_resources_created,source_stage,source_artifact,method
50.fault.resource_preflight,50,fault,real,50,3200,64,SKIPPED_WITH_REASON,1024,true,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/resource_preflight.json,copy_resource_preflight_estimates
50.lifecycle.resource_preflight,50,lifecycle,real,50,3200,64,SKIPPED_WITH_REASON,1024,true,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_50/resource_preflight.json,copy_full_flow_resource_preflight_estimates
50.management.resource_preflight,50,management,real,50,3200,64,SKIPPED_WITH_REASON,1024,true,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/resource_preflight.json,copy_resource_preflight_estimates
100.fault.resource_preflight,100,fault,real,100,6400,64,SKIPPED_WITH_REASON,1024,true,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/resource_preflight.json,copy_resource_preflight_estimates
100.lifecycle.resource_preflight,100,lifecycle,real,100,6400,64,SKIPPED_WITH_REASON,1024,true,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_100/resource_preflight.json,copy_full_flow_resource_preflight_estimates
100.management.resource_preflight,100,management,real,100,6400,64,SKIPPED_WITH_REASON,1024,true,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/resource_preflight.json,copy_resource_preflight_estimates
200.fault.resource_preflight,200,fault,real,200,6400,32,SKIPPED_WITH_REASON,1024,true,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/resource_preflight.json,copy_resource_preflight_estimates
200.lifecycle.resource_preflight,200,lifecycle,real,200,6400,32,SKIPPED_WITH_REASON,1024,true,P36_FULL_FLOW_E2E_50_100_200_REAL,artifacts/phases/P36_FULL_FLOW_E2E_50_100_200_REAL/full_flow_200/resource_preflight.json,copy_full_flow_resource_preflight_estimates
200.management.resource_preflight,200,management,real,200,6400,32,SKIPPED_WITH_REASON,1024,true,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/resource_preflight.json,copy_resource_preflight_estimates
201.dry_run.resource_preflight_dry_run,201,dry_run,dry_run,201,SKIPPED_WITH_REASON,SKIPPED_WITH_REASON,6432,SKIPPED_WITH_REASON,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/resource_estimate_201.json,copy_p37_dry_run_resource_projection
250.dry_run.resource_preflight_dry_run,250,dry_run,dry_run,250,SKIPPED_WITH_REASON,SKIPPED_WITH_REASON,8000,SKIPPED_WITH_REASON,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/resource_estimate_250.json,copy_p37_dry_run_resource_projection
300.dry_run.resource_preflight_dry_run,300,dry_run,dry_run,300,SKIPPED_WITH_REASON,SKIPPED_WITH_REASON,9600,SKIPPED_WITH_REASON,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/resource_estimate_300.json,copy_p37_dry_run_resource_projection
500.dry_run.resource_preflight_dry_run,500,dry_run,dry_run,500,SKIPPED_WITH_REASON,SKIPPED_WITH_REASON,16000,SKIPPED_WITH_REASON,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/resource_estimate_500.json,copy_p37_dry_run_resource_projection
1000.dry_run.resource_preflight_dry_run,1000,dry_run,dry_run,1000,SKIPPED_WITH_REASON,SKIPPED_WITH_REASON,32000,SKIPPED_WITH_REASON,False,P37_200_PLUS_DRY_RUN_SUPPORT,artifacts/phases/P37_200_PLUS_DRY_RUN_SUPPORT/resource_estimate_1000.json,copy_p37_dry_run_resource_projection
