metric,value_ms,status,reason
total_setup_ms,609.0,PASS,
cluster_meet_ms,120.0,PASS,
replica_replicate_ms,110.0,PASS,
process_ready_wait_ms,90.0,PASS,
process_start_ms,80.0,PASS,
cluster_slots_assign_ms,70.0,PASS,
cleanup_ms,50.0,PASS,
nodehost_start_ms,40.0,PASS,
cluster_convergence_probe_ms,30.0,PASS,
node_config_distribute_ms,25.0,PASS,
full_cluster_probe_ms,20.0,PASS,
node_config_generate_ms,10.0,PASS,
plan_build_ms,6.0,PASS,
config_validate_ms,5.0,PASS,
port_check_ms,3.0,PASS,
config_parse_ms,1.0,PASS,
