sample_id,fault_type,scale_rung,node_count,status,failover_latency_ms,client_unavailability_ms,cleanup_duration_ms
success-100-az_stop,az_stop,100,100,PARTIAL,20.0,120.0,10.0
success-100-fault_period_workload_impact,fault_period_workload_impact,100,100,PARTIAL,20.0,120.0,10.0
success-100-majority_partition,majority_partition,100,100,PASS,20.0,120.0,10.0
success-100-minority_partition,minority_partition,100,100,PASS,20.0,120.0,10.0
success-100-network_delay,network_delay,100,100,PARTIAL,20.0,120.0,10.0
success-100-network_flap,network_flap,100,100,PARTIAL,20.0,120.0,10.0
success-100-network_loss,network_loss,100,100,PARTIAL,20.0,120.0,10.0
success-100-network_partition,network_partition,100,100,PARTIAL,20.0,120.0,10.0
success-100-node_host_stop,node_host_stop,100,100,PARTIAL,20.0,120.0,10.0
success-100-primary_stop_failover,primary_stop_failover,100,100,PASS,20.0,120.0,10.0
success-100-replica_stop,replica_stop,100,100,PARTIAL,20.0,120.0,10.0
success-100-split_brain_window_detection,split_brain_window_detection,100,100,PASS,20.0,120.0,10.0
success-200-az_stop,az_stop,200,200,PARTIAL,20.0,120.0,10.0
success-200-fault_period_workload_impact,fault_period_workload_impact,200,200,PARTIAL,20.0,120.0,10.0
success-200-majority_partition,majority_partition,200,200,PASS,20.0,120.0,10.0
success-200-minority_partition,minority_partition,200,200,PASS,20.0,120.0,10.0
success-200-network_delay,network_delay,200,200,PARTIAL,20.0,120.0,10.0
success-200-network_flap,network_flap,200,200,PARTIAL,20.0,120.0,10.0
success-200-network_loss,network_loss,200,200,PARTIAL,20.0,120.0,10.0
success-200-network_partition,network_partition,200,200,PARTIAL,20.0,120.0,10.0
success-200-node_host_stop,node_host_stop,200,200,PARTIAL,20.0,120.0,10.0
success-200-primary_stop_failover,primary_stop_failover,200,200,PASS,20.0,120.0,10.0
success-200-replica_stop,replica_stop,200,200,PARTIAL,20.0,120.0,10.0
success-200-split_brain_window_detection,split_brain_window_detection,200,200,PASS,20.0,120.0,10.0
success-30-az_stop,az_stop,30,30,PARTIAL,20.0,120.0,10.0
success-30-fault_period_workload_impact,fault_period_workload_impact,30,30,PARTIAL,20.0,120.0,10.0
success-30-majority_partition,majority_partition,30,30,PASS,20.0,120.0,10.0
success-30-minority_partition,minority_partition,30,30,PASS,20.0,120.0,10.0
success-30-network_delay,network_delay,30,30,PARTIAL,20.0,120.0,10.0
success-30-network_flap,network_flap,30,30,PARTIAL,20.0,120.0,10.0
success-30-network_loss,network_loss,30,30,PARTIAL,20.0,120.0,10.0
success-30-network_partition,network_partition,30,30,PARTIAL,20.0,120.0,10.0
success-30-node_host_stop,node_host_stop,30,30,PARTIAL,20.0,120.0,10.0
success-30-primary_stop_failover,primary_stop_failover,30,30,PASS,20.0,120.0,10.0
success-30-replica_stop,replica_stop,30,30,PARTIAL,20.0,120.0,10.0
success-30-split_brain_window_detection,split_brain_window_detection,30,30,PASS,20.0,120.0,10.0
success-50-az_stop,az_stop,50,50,PARTIAL,20.0,120.0,10.0
success-50-fault_period_workload_impact,fault_period_workload_impact,50,50,PARTIAL,20.0,120.0,10.0
success-50-majority_partition,majority_partition,50,50,PASS,20.0,120.0,10.0
success-50-minority_partition,minority_partition,50,50,PASS,20.0,120.0,10.0
success-50-network_delay,network_delay,50,50,PARTIAL,20.0,120.0,10.0
success-50-network_flap,network_flap,50,50,PARTIAL,20.0,120.0,10.0
success-50-network_loss,network_loss,50,50,PARTIAL,20.0,120.0,10.0
success-50-network_partition,network_partition,50,50,PARTIAL,20.0,120.0,10.0
success-50-node_host_stop,node_host_stop,50,50,PARTIAL,20.0,120.0,10.0
success-50-primary_stop_failover,primary_stop_failover,50,50,PASS,20.0,120.0,10.0
success-50-replica_stop,replica_stop,50,50,PARTIAL,20.0,120.0,10.0
success-50-split_brain_window_detection,split_brain_window_detection,50,50,PASS,20.0,120.0,10.0
success-small-az_stop,az_stop,small,6,PARTIAL,20.0,120.0,10.0
success-small-fault_period_workload_impact,fault_period_workload_impact,small,6,PARTIAL,20.0,120.0,10.0
