command_id,operation_id,step_id,command_kind,duration_ms,status,exit_code,retry_index,error_type
cmd-000079,runtime,runtime_command,runtime_command,2022,PASS,0,0,
cmd-000099,runtime,runtime_command,runtime_command,2002,PASS,0,0,
cmd-000042,runtime,runtime_command,runtime_command,1991,PASS,0,0,
cmd-000083,runtime,runtime_command,runtime_command,1990,PASS,0,0,
cmd-000087,runtime,runtime_command,runtime_command,1990,PASS,0,0,
cmd-000071,runtime,runtime_command,runtime_command,1989,PASS,0,0,
cmd-000095,runtime,runtime_command,runtime_command,1989,PASS,0,0,
cmd-000107,runtime,runtime_command,runtime_command,1987,PASS,0,0,
cmd-000091,runtime,runtime_command,runtime_command,1986,PASS,0,0,
cmd-000057,runtime,runtime_command,runtime_command,1984,PASS,0,0,
