operation_id,known_nodes_delta,moved_slot_range_count,role_diff,status
m1-s04-01-create_cluster,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-02-meet_nodes,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-03-add_replica,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-04-remove_replica,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-05-remove_primary_drained_or_safe_replaced,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-06-remove_failed_node,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-07-reshard_slot_range,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-08-reshard_with_keys,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-09-rebalance_after_imbalance,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-10-rolling_restart_replica_first,0,0,"{""primary"": 0, ""replica"": 0}",PASS
m1-s04-11-rolling_restart_primary_safe,0,0,"{""primary"": 0, ""replica"": 0}",PASS
