sample_id,fault_type,client_unavailability_ms,workload_recovery_ms,cluster_down_window_ms,status
success-100-az_stop,az_stop,120.0,10.0,45.0,PARTIAL
success-100-fault_period_workload_impact,fault_period_workload_impact,120.0,10.0,45.0,PARTIAL
success-100-majority_partition,majority_partition,120.0,10.0,45.0,PASS
success-100-minority_partition,minority_partition,120.0,10.0,45.0,PASS
success-100-network_delay,network_delay,120.0,10.0,45.0,PARTIAL
success-100-network_flap,network_flap,120.0,10.0,45.0,PARTIAL
success-100-network_loss,network_loss,120.0,10.0,45.0,PARTIAL
success-100-network_partition,network_partition,120.0,10.0,45.0,PARTIAL
success-100-node_host_stop,node_host_stop,120.0,10.0,45.0,PARTIAL
success-100-primary_stop_failover,primary_stop_failover,120.0,10.0,45.0,PASS
success-100-replica_stop,replica_stop,120.0,10.0,45.0,PARTIAL
success-100-split_brain_window_detection,split_brain_window_detection,120.0,10.0,45.0,PASS
success-200-az_stop,az_stop,120.0,10.0,45.0,PARTIAL
success-200-fault_period_workload_impact,fault_period_workload_impact,120.0,10.0,45.0,PARTIAL
success-200-majority_partition,majority_partition,120.0,10.0,45.0,PASS
success-200-minority_partition,minority_partition,120.0,10.0,45.0,PASS
success-200-network_delay,network_delay,120.0,10.0,45.0,PARTIAL
success-200-network_flap,network_flap,120.0,10.0,45.0,PARTIAL
success-200-network_loss,network_loss,120.0,10.0,45.0,PARTIAL
success-200-network_partition,network_partition,120.0,10.0,45.0,PARTIAL
success-200-node_host_stop,node_host_stop,120.0,10.0,45.0,PARTIAL
success-200-primary_stop_failover,primary_stop_failover,120.0,10.0,45.0,PASS
success-200-replica_stop,replica_stop,120.0,10.0,45.0,PARTIAL
success-200-split_brain_window_detection,split_brain_window_detection,120.0,10.0,45.0,PASS
success-30-az_stop,az_stop,120.0,10.0,45.0,PARTIAL
success-30-fault_period_workload_impact,fault_period_workload_impact,120.0,10.0,45.0,PARTIAL
success-30-majority_partition,majority_partition,120.0,10.0,45.0,PASS
success-30-minority_partition,minority_partition,120.0,10.0,45.0,PASS
success-30-network_delay,network_delay,120.0,10.0,45.0,PARTIAL
success-30-network_flap,network_flap,120.0,10.0,45.0,PARTIAL
success-30-network_loss,network_loss,120.0,10.0,45.0,PARTIAL
success-30-network_partition,network_partition,120.0,10.0,45.0,PARTIAL
success-30-node_host_stop,node_host_stop,120.0,10.0,45.0,PARTIAL
success-30-primary_stop_failover,primary_stop_failover,120.0,10.0,45.0,PASS
success-30-replica_stop,replica_stop,120.0,10.0,45.0,PARTIAL
success-30-split_brain_window_detection,split_brain_window_detection,120.0,10.0,45.0,PASS
success-50-az_stop,az_stop,120.0,10.0,45.0,PARTIAL
success-50-fault_period_workload_impact,fault_period_workload_impact,120.0,10.0,45.0,PARTIAL
success-50-majority_partition,majority_partition,120.0,10.0,45.0,PASS
success-50-minority_partition,minority_partition,120.0,10.0,45.0,PASS
success-50-network_delay,network_delay,120.0,10.0,45.0,PARTIAL
success-50-network_flap,network_flap,120.0,10.0,45.0,PARTIAL
success-50-network_loss,network_loss,120.0,10.0,45.0,PARTIAL
success-50-network_partition,network_partition,120.0,10.0,45.0,PARTIAL
success-50-node_host_stop,node_host_stop,120.0,10.0,45.0,PARTIAL
success-50-primary_stop_failover,primary_stop_failover,120.0,10.0,45.0,PASS
success-50-replica_stop,replica_stop,120.0,10.0,45.0,PARTIAL
success-50-split_brain_window_detection,split_brain_window_detection,120.0,10.0,45.0,PASS
success-small-az_stop,az_stop,120.0,10.0,45.0,PARTIAL
success-small-fault_period_workload_impact,fault_period_workload_impact,120.0,10.0,45.0,PARTIAL
