metric,current_value,baseline_value,delta,unit,status
nodes_observed_after_fault,6,,,count,NO_BASELINE_YET
failover_latency_ms,,,,ms,MISSING
split_brain_duration_ms,,,,ms,MISSING
cleanup_resources_remaining,0,,,count,NO_BASELINE_YET
workload_achieved_qps,,,,ops_per_second,MISSING
workload_latency_p99_ms,,,,ms,MISSING
workload_error_rate,,,,ratio,MISSING
fault_failover_latency_p95_ms,,,,ms,MISSING
fault_client_unavailability_p95_ms,,,,ms,MISSING
fault_workload_recovery_p95_ms,,,,ms,MISSING
fault_split_brain_window_max_ms,,,,ms,MISSING
fault_cluster_down_window_max_ms,,,,ms,MISSING
system_rss_bytes_max,15151923.0,,,bytes,NO_BASELINE_YET
system_connected_clients_max,2.0,,,count,NO_BASELINE_YET
system_total_net_input_bytes_max,61626.0,,,bytes,NO_BASELINE_YET
